square_index,board_row,board_column,rounds_observed,wins,win_rate,mean_miners,median_miners,min_miners,max_miners,mean_miner_share,mean_rank_ascending,bottom4_rate,top4_rate,empty_rate,mean_neighbor_miners,mean_distance_from_center,is_corner,is_edge,is_center,expected_wins_uniform,win_rate_lift_vs_uniform,wins_minus_uniform
11,2,1,901,35,0.038845726970033294,143.48612652608213,144.0,122,161,0.040943884974263885,20.560488346281907,0.003329633740288568,0.5072142064372919,0.0,141.88568257491676,1.0,False,False,False,36.04,0.9711431742508323,-1.0399999999999991
12,2,2,901,35,0.038845726970033294,143.98446170921198,144.0,125,159,0.04108646638834996,21.83906770255272,0.0,0.6059933407325194,0.0,140.18451720310765,0.0,False,False,True,36.04,0.9711431742508323,-1.0399999999999991
13,2,3,901,33,0.03662597114317425,136.76137624861266,137.0,111,153,0.039021781968569424,5.288568257491676,0.5038845726970034,0.0022197558268590455,0.0,141.78440621531632,1.0,False,False,False,36.04,0.9156492785793563,-3.039999999999999
14,2,4,901,33,0.03662597114317425,138.83018867924528,139.0,118,158,0.039613406645455006,9.483906770255272,0.14095449500554938,0.003329633740288568,0.0,137.0691823899371,2.0,False,True,False,36.04,0.9156492785793563,-3.039999999999999
15,3,0,901,34,0.03773584905660377,141.58712541620423,142.0,121,157,0.040396356034533835,16.800221975582687,0.0022197558268590455,0.17425083240843509,0.0,141.6455789863115,2.23606797749979,False,True,False,36.04,0.9433962264150942,-2.039999999999999
16,3,1,901,34,0.03773584905660377,141.30743618201998,141.0,121,157,0.04032667801679615,16.147613762486127,0.005549389567147614,0.12541620421753608,0.0,141.2746947835738,1.4142135623730951,False,False,False,36.04,0.9433962264150942,-2.039999999999999
17,3,2,901,44,0.048834628190899,142.45726970033297,142.0,119,161,0.040645340878037145,18.263041065482795,0.016648168701442843,0.3174250832408435,0.0,141.9406215316315,1.0,False,False,False,36.04,1.2208657047724751,7.960000000000001
18,3,3,901,36,0.03995560488346282,141.3196448390677,142.0,117,156,0.040320596103850616,16.11431742508324,0.06659267480577137,0.12319644839067703,0.0,138.02663706992232,1.4142135623730951,False,False,False,36.04,0.9988901220865706,-0.03999999999999915
19,3,4,901,51,0.05660377358490566,137.2941176470588,137.0,119,155,0.03916888618979642,6.677025527192009,0.34850166481687017,0.0011098779134295228,0.0,140.70329263780985,2.23606797749979,False,True,False,36.04,1.4150943396226414,14.96
20,4,0,901,37,0.041065482796892344,140.01664816870144,140.0,121,159,0.039950381962851576,13.30521642619312,0.03995560488346282,0.017758046614872364,0.0,139.57769145394008,2.8284271247461903,True,False,False,36.04,1.0266370699223086,0.9600000000000009
21,4,1,901,31,0.03440621531631521,137.56825749167592,138.0,120,157,0.03925277861399004,7.780244173140955,0.3218645948945616,0.0022197558268590455,0.0,140.8250092489826,2.23606797749979,False,True,False,36.04,0.8601553829078802,-5.039999999999999
22,4,2,901,34,0.03773584905660377,141.1509433962264,141.0,125,164,0.0402784294870053,16.314095449500556,0.005549389567147614,0.08102108768035517,0.0,138.53977062523123,2.0,False,True,False,36.04,0.9433962264150942,-2.039999999999999
23,4,3,901,26,0.02885682574916759,135.5937846836848,136.0,121,151,0.03869364687455014,3.8923418423973364,0.6736958934517203,0.0,0.0,141.47687754347024,2.23606797749979,False,True,False,36.04,0.7214206437291898,-10.04
24,4,4,901,35,0.038845726970033294,141.96004439511654,142.0,125,157,0.040510603824714046,18.263041065482795,0.003329633740288568,0.16759156492785793,0.0,136.4439511653718,2.8284271247461903,True,False,False,36.04,0.9711431742508323,-1.0399999999999991
